     464   a_wgt =    0.001  b_wgt =    0.020
  328        32    1   14   15   -0.58788683E-01
  329        17   18   15   16   -0.33263873E-01
  330        18   19   15   16   -0.33441633E-01
  331        19   20   15   16   -0.26269706E-01
  332        20   21   15   16   -0.20160211E-01
  333        21   22   15   16   -0.13396448E-01
  334        22   23   15   16   -0.71878247E-02
  335        23   24   15   16   -0.35879670E-02
  336        24   25   15   16    0.98958507E-03
  337        25   26   15   16    0.54746252E-02
  338        26   27   15   16    0.44036158E-02
  339        27   28   15   16    0.53826217E-02
  340        28   29   15   16    0.44860058E-02
  341        29   30   15   16    0.16690430E-02
  342        30   31   15   16    0.17034350E-02
  343        31   32   15   16    0.15330596E-02
  344        32    1   15   16   -0.51598892E-01
  345        18   19   16   17   -0.79215188E+01
  346        19   20   16   17   -0.25155382E+01
  347        20   21   16   17   -0.12545751E+01
  348        21   22   16   17   -0.72019905E+00
  349        22   23   16   17   -0.44319022E+00
  350        23   24   16   17   -0.28497350E+00
  351        24   25   16   17   -0.17948835E+00
  352        25   26   16   17   -0.11396785E+00
  353        26   27   16   17   -0.80636300E-01
  354        27   28   16   17   -0.65457143E-01
  355        28   29   16   17   -0.55239584E-01
  356        29   30   16   17   -0.37842464E-01
  357        30   31   16   17   -0.18919077E-01
  358        31   32   16   17   -0.59775882E-02
  359        32    1   16   17   -0.49938384E+00
  360        19   20   17   18   -0.48026109E+01
  361        20   21   17   18   -0.13246781E+01
  362        21   22   17   18   -0.53091401E+00
  363        22   23   17   18   -0.26239100E+00
  364        23   24   17   18   -0.14383736E+00
  365        24   25   17   18   -0.90530962E-01
  366        25   26   17   18   -0.58396809E-01
  367        26   27   17   18   -0.40482055E-01
  368        27   28   17   18   -0.30409699E-01
  369        28   29   17   18   -0.19681061E-01
  370        29   30   17   18   -0.12401460E-01
  371        30   31   17   18   -0.59178276E-02
  372        31   32   17   18   -0.25967974E-02
  373        32    1   17   18   -0.47370337E-01
  374        20   21   18   19   -0.53003869E+01
  375        21   22   18   19   -0.13293190E+01
  376        22   23   18   19   -0.51932454E+00
  377        23   24   18   19   -0.25718471E+00
  378        24   25   18   19   -0.14707924E+00
  379        25   26   18   19   -0.90985112E-01
  380        26   27   18   19   -0.60227256E-01
  381        27   28   18   19   -0.43507218E-01
  382        28   29   18   19   -0.27994694E-01
  383        29   30   18   19   -0.16506124E-01
  384        30   31   18   19   -0.75899684E-02
  385        31   32   18   19   -0.25458566E-02
  386        32    1   18   19   -0.64268388E-01
  387        21   22   19   20   -0.53040261E+01
  388        22   23   19   20   -0.13337712E+01
  389        23   24   19   20   -0.51788265E+00
  390        24   25   19   20   -0.25790256E+00
  391        25   26   19   20   -0.14747772E+00
  392        26   27   19   20   -0.92661716E-01
  393        27   28   19   20   -0.62460449E-01
  394        28   29   19   20   -0.41238882E-01
  395        29   30   19   20   -0.25743324E-01
  396        30   31   19   20   -0.11689061E-01
  397        31   32   19   20   -0.44487189E-02
  398        32    1   19   20   -0.81564039E-01
  399        22   23   20   21   -0.52933707E+01
  400        23   24   20   21   -0.13169204E+01
  401        24   25   20   21   -0.50928205E+00
  402        25   26   20   21   -0.26006597E+00
  403        26   27   20   21   -0.15036891E+00
  404        27   28   20   21   -0.96589841E-01
  405        28   29   20   21   -0.59846293E-01
  406        29   30   20   21   -0.35795551E-01
  407        30   31   20   21   -0.17743433E-01
  408        31   32   20   21   -0.50936323E-02
  409        32    1   20   21   -0.10829893E+00
  410        23   24   21   22   -0.52776260E+01
  411        24   25   21   22   -0.13188735E+01
  412        25   26   21   22   -0.50397444E+00
  413        26   27   21   22   -0.26248524E+00
  414        27   28   21   22   -0.16470477E+00
  415        28   29   21   22   -0.94268359E-01
  416        29   30   21   22   -0.55056963E-01
  417        30   31   21   22   -0.28780105E-01
  418        31   32   21   22   -0.80123506E-02
  419        32    1   21   22   -0.14665262E+00
  420        24   25   22   23   -0.51834488E+01
  421        25   26   22   23   -0.13688444E+01
  422        26   27   22   23   -0.51837349E+00
  423        27   28   22   23   -0.28097612E+00
  424        28   29   22   23   -0.15861875E+00
  425        29   30   22   23   -0.88781215E-01
  426        30   31   22   23   -0.41935239E-01
  427        31   32   22   23   -0.12397422E-01
  428        32    1   22   23   -0.19975649E+00
  429        25   26   23   24   -0.52443428E+01
  430        26   27   23   24   -0.13379346E+01
  431        27   28   23   24   -0.56154853E+00
  432        28   29   23   24   -0.27672750E+00
  433        29   30   23   24   -0.14856060E+00
  434        30   31   23   24   -0.66533588E-01
  435        31   32   23   24   -0.20623550E-01
  436        32    1   23   24   -0.29046515E+00
  437        26   27   24   25   -0.53000684E+01
  438        27   28   24   25   -0.13509946E+01
  439        28   29   24   25   -0.57781643E+00
  440        29   30   24   25   -0.28454626E+00
  441        30   31   24   25   -0.12137689E+00
  442        31   32   24   25   -0.35661634E-01
  443        32    1   24   25   -0.42434728E+00
  444        27   28   25   26   -0.53239903E+01
  445        28   29   25   26   -0.14702353E+01
  446        29   30   25   26   -0.59324425E+00
  447        30   31   25   26   -0.24395907E+00
  448        31   32   25   26   -0.67214280E-01
  449        32    1   25   26   -0.67168021E+00
  450        28   29   26   27   -0.55786281E+01
  451        29   30   26   27   -0.14120897E+01
